date,time,site_name,cluster,agency_name,material,ticket_no,vehicle_no,transfer_party_name,first_weight,second_weight,net_weight,,,,,,,
2025-06-20,11:51:19,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0129,AP28TC8081,On-site,29160,11800,17360,,,,,,,
2025-06-20,12:16:11,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0130,AP27TW7569,On-site,30850,10680,20170,,,,,,,
2025-06-20,12:18:33,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0131,AP21TB4935,On-site,29500,11510,17990,,,,,,,
2025-06-20,12:38:08,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0132,AP 26 TA 0434,On-site,26960,9920,17040,,,,,,,
2025-06-20,12:41:04,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0133,AP28TC8081,On-site,29030,11800,17230,,,,,,,
2025-06-20,12:52:31,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0134,AP21TB4935,On-site,31480,11520,19960,,,,,,,
2025-06-20,12:50:49,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0135,AP27TW7569,On-site,30600,10650,19950,,,,,,,
2025-06-20,12:58:16,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0136,AP27TW7569,On-site,30700,10700,20000,,,,,,,
2025-06-20,13:07:26,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0137,AP 26 TA 0434,On-site,28430,9910,18520,,,,,,,
2025-06-20,15:07:33,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0138,AP 26 TA 0434,On-site,27920,9840,18080,,,,,,,
2025-06-20,15:10:59,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0139,AP28TC8081,On-site,28020,11600,16420,,,,,,,
2025-06-20,15:20:06,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0140,AP27TW7569,On-site,31380,10690,20690,,,,,,,
